Date,Clicks,Impressions,CTR,Position
2025-12-31,6,2202,0.27%,24.60
2026-01-01,13,2287,0.57%,28.40
2026-01-02,15,2354,0.64%,26.50
2026-01-03,6,1767,0.34%,25.30
2026-01-04,3,2187,0.14%,22.30
2026-01-05,16,3227,0.50%,21.00
2026-01-06,28,3114,0.90%,18.30
2026-01-07,18,4154,0.43%,28.10
2026-01-08,34,4466,0.76%,28.80
2026-01-09,25,3448,0.73%,29.50
2026-01-10,19,3088,0.62%,34.80
2026-01-11,10,4048,0.25%,26.30
2026-01-12,26,4025,0.65%,21.60
2026-01-13,13,3529,0.37%,23.30
2026-01-14,11,3335,0.33%,20.90
2026-01-15,16,3096,0.52%,24.50
2026-01-16,15,2827,0.53%,26.50
2026-01-17,6,2794,0.21%,25.90
2026-01-18,11,3657,0.30%,19.90
2026-01-19,20,3597,0.56%,23.10
2026-01-20,14,3523,0.40%,21.10
2026-01-21,17,2802,0.61%,20.40
2026-01-22,21,2594,0.81%,20.50
2026-01-23,12,2156,0.56%,28.50
2026-01-24,4,1640,0.24%,26.30
2026-01-25,1,1564,0.06%,30.90
2026-01-26,11,2083,0.53%,36.10
2026-01-27,8,1781,0.45%,33.90
2026-01-28,5,1453,0.34%,28.70
2026-01-29,13,1393,0.93%,24.70
2026-01-30,12,1421,0.84%,34.80
2026-01-31,4,1041,0.38%,34.30
2026-02-01,9,1436,0.63%,33.30
2026-02-02,6,1576,0.38%,30.80
2026-02-03,10,1769,0.57%,36.90
2026-02-04,13,1473,0.88%,27.80
2026-02-05,5,1461,0.34%,30.80
2026-02-06,9,1144,0.79%,32.90
2026-02-07,6,713,0.84%,27.60
2026-02-08,10,913,1.10%,32.60
2026-02-09,13,1233,1.05%,30.60
2026-02-10,11,1755,0.63%,33.70
2026-02-11,16,1742,0.92%,25.50
2026-02-12,21,1567,1.34%,29.30
2026-02-13,4,963,0.42%,25.60
2026-02-14,8,714,1.12%,27.40
2026-02-15,7,824,0.85%,23.70
2026-02-16,17,1036,1.64%,20.40
2026-02-17,7,1235,0.57%,22.40
2026-02-18,7,1205,0.58%,16.50
2026-02-19,9,1297,0.69%,23.20
2026-02-20,3,1051,0.29%,25.30
2026-02-21,6,789,0.76%,25.90
2026-02-22,4,1140,0.35%,31.30
2026-02-23,8,1363,0.59%,23.40
2026-02-24,23,1528,1.51%,21.00
2026-02-25,20,1580,1.27%,20.80
2026-02-26,11,1157,0.95%,20.40
2026-02-27,8,1168,0.68%,25.00
2026-02-28,2,689,0.29%,19.80
2026-03-01,6,927,0.65%,25.50
2026-03-02,11,1190,0.92%,25.40
2026-03-03,8,1338,0.60%,26.80
2026-03-04,8,1457,0.55%,30.00
2026-03-05,10,1989,0.50%,31.70
2026-03-06,12,1722,0.70%,32.30
2026-03-07,4,1079,0.37%,32.80
2026-03-08,3,1160,0.26%,35.30
2026-03-09,9,2012,0.45%,34.90
2026-03-10,7,2042,0.34%,34.10
2026-03-11,18,1668,1.08%,34.80
2026-03-12,10,1967,0.51%,39.10
2026-03-13,7,1659,0.42%,36.80
2026-03-14,2,1204,0.17%,39.30
2026-03-15,3,1421,0.21%,42.20
2026-03-16,20,1969,1.02%,40.70
2026-03-17,9,1991,0.45%,44.10
2026-03-18,23,1526,1.51%,38.30
2026-03-19,10,1722,0.58%,39.20
2026-03-20,6,1300,0.46%,41.80
2026-03-21,2,1148,0.17%,41.40
2026-03-22,3,1271,0.24%,42.00
2026-03-23,10,1314,0.76%,36.60
2026-03-24,9,1706,0.53%,37.40
2026-03-25,4,1491,0.27%,35.60
2026-03-26,16,1890,0.85%,40.80
2026-03-27,6,1471,0.41%,36.40
2026-03-28,3,986,0.30%,37.60
2026-03-29,4,1294,0.31%,39.00
2026-03-30,12,1493,0.80%,36.00
